"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"10103594-0001LF","Amphenol ICC (FCI)","609-4050-1-ND","J1","","Cut Tape (CT)","Active","1","0.77000","$0.77","27784","15 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","RoHS Compliant","Lead free","Not Available"
"ALS-PT19-315C/L177/TR8","Everlight Electronics Co Ltd","1080-1244-1-ND","Q1","","Cut Tape (CT)","Active","1","0.43000","$0.43","190276","15 Weeks","SENSOR PHOTO 630NM 2SMD","RoHS Compliant","Lead free","Not Available"
"D3SH-A0R","Omron Electronics Inc-EMC Div","SW1044CT-ND","SW1","","Cut Tape (CT)","Active","1","1.99000","$1.99","3053","15 Weeks","SWITCH DETECTOR SPST-NO 1MA 5V","RoHS Compliant","Lead free","Not Available"
"D3SH-A0L","Omron Electronics Inc-EMC Div","SW1048CT-ND","SW2","","Cut Tape (CT)","Active","1","1.99000","$1.99","1573","13 Weeks","SWITCH DETECTOR SPST-NO 1MA 5V","RoHS Compliant","Lead free","Not Available"
"1N5819HW-7-F","Diodes Incorporated","1N5819HW-FDICT-ND","D1","","Cut Tape (CT)","Active","1","0.44000","$0.44","771805","14 Weeks","DIODE SCHOTTKY 40V 1A SOD123","RoHS Compliant","Lead free","REACH Unaffected"
"93LC56BT-I/SN","Microchip Technology","93LC56BT-I/SNCT-ND","U2","","Cut Tape (CT)","Active","1","0.25000","$0.25","3166","5 Weeks","IC EEPROM 2K SPI 2MHZ 8SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"CL10B104KB8NNNC","Samsung Electro-Mechanics","1276-1000-1-ND","C1,C2,C3,C5,C7,C8,C9","","Cut Tape (CT)","Active","7","0.10000","$0.70","13748574","Not Available","CAP CER 0.1UF 50V X7R 0603","RoHS Compliant","Lead free","REACH Unaffected"
"CL10C270JB8NNNC","Samsung Electro-Mechanics","1276-1086-1-ND","C4,C6","","Cut Tape (CT)","Active","2","0.10000","$0.20","1510","Not Available","CAP CER 27PF 50V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected"
"RNCP0603FTD10K0","Stackpole Electronics Inc","RNCP0603FTD10K0CT-ND","R1,R2,R3,R4,R6,R9","","Cut Tape (CT)","Active","6","0.10000","$0.60","558598","18 Weeks","RES 10K OHM 1% 1/8W 0603","RoHS Compliant","Lead free","REACH Unaffected"
"TNPW06032K00BEEA","Vishay Dale","TNP2.00KAACT-ND","R7","","Cut Tape (CT)","Active","1","0.65000","$0.65","46176","13 Weeks","RES 2K OHM 0.1% 1/8W 0603","RoHS Compliant","Lead free","Not Available"
"CRGCQ0603F12K","TE Connectivity Passive Product","A129701CT-ND","R8","","Cut Tape (CT)","Active","1","0.10000","$0.10","22050","28 Weeks","CRGCQ 0603 12K 1%","RoHS Compliant","Lead free","Not Available"
"CRGCQ0603F39K","TE Connectivity Passive Product","A129707CT-ND","R10","","Cut Tape (CT)","Active","1","0.10000","$0.10","85138","28 Weeks","CRGCQ 0603 39K 1%","RoHS Compliant","Lead free","Not Available"
"ESP32-WROOM-32D","Espressif Systems","1904-1023-1-ND","U1","","Cut Tape (CT)","Active","1","3.80000","$3.80","12437","2 Weeks","WIFI MODULE 32MBITS SPI FLASH","RoHS Compliant","Lead free","Not Available"
"FT232HL-REEL","FTDI, Future Technology Devices International Ltd","768-1101-1-ND","U3","","Cut Tape (CT)","Active","1","4.25000","$4.25","11854","10 Weeks","IC HS USB TO UART/FIFO 48LQFP","RoHS Compliant","Lead free","REACH Unaffected"
"LM1117MP-3.3/NOPB","Texas Instruments","LM1117MP-3.3/NOPBCT-ND","U4","","Cut Tape (CT)","Active","1","1.14000","$1.14","55891","6 Weeks","IC REG LINEAR 3.3V 800MA SOT223","RoHS Compliant","Lead free","REACH Unaffected"
"ABM8G-12.000MHZ-4Y-T3","Abracon LLC","535-10901-1-ND","Y1","","Cut Tape (CT)","Active","1","0.45000","$0.45","67491","15 Weeks","CRYSTAL 12.0000MHZ 10PF SMD","RoHS Compliant","Lead free","REACH Affected"
"TACL106K010XTA","AVX Corporation","478-8775-1-ND","C10,C11","","Cut Tape (CT)","Active","2","1.75000","$3.50","9130","24 Weeks","CAP TANT 10UF 10% 10V 0603","RoHS Compliant","Lead free","REACH Unaffected"
